F2Zr       -0.13074E+04    0.16859E+03    0.43836E+02   -0.96954E+01    0.72802E+00     3     Burrows 99
ClZr       -0.50806E+03    0.47640E+02    0.39055E+02   -0.88077E+01    0.67072E+00     2     Burrows 99
Cl2Zr      -0.10197E+04    0.17130E+03    0.40659E+02   -0.92110E+01    0.69662E+00     3     Burrows 99
HI         -0.29905E+03    0.88541E+02    0.82366E+01   -0.14364E+01    0.95953E-01     2     Burrows 99
BaO        -0.55933E+03    0.11399E+03   -0.88876E+01    0.30491E+01   -0.25419E+00     2     Burrows 99
BaS        -0.42157E+03    0.97419E+02   -0.20685E+01    0.13199E+01   -0.12027E+00     2     Burrows 99
BaF        -0.58733E+03    0.10060E+03   -0.87272E+01    0.28834E+01   -0.22058E+00     2     Burrows 99
BaF2       -0.11484E+04    0.20545E+03   -0.81103E+01    0.28047E+01   -0.20822E+00     3     Burrows 99
BaCl       -0.44908E+03    0.92441E+02   -0.74222E+01    0.25679E+01   -0.19775E+00     2     Burrows 99
BaCl2      -0.92766E+03    0.19199E+03   -0.68437E+01    0.25764E+01   -0.19314E+00     3     Burrows 99
BaOH       -0.87027E+03    0.18896E+03    0.89892E+01   -0.10740E+01    0.70526E-01     3       Tsuji 73
NbO        -0.78552E+03    0.11147E+03    0.90978E+01   -0.14344E+01    0.97349E-01     2     Burrows 99
C4         -0.19017E+04    0.41639E+03    0.60586E+01   -0.13658E+01    0.97361E-01     4     Burrows 99
C5         -0.26090E+04    0.55954E+03    0.97011E+01   -0.23535E+01    0.17391E+00     5     Burrows 99
TiH        -0.21488E+03    0.11067E+03   -0.74876E+01    0.15964E+01   -0.10026E+00     2     Burrows 05
CaH        -0.16113E+03    0.62038E+02    0.57323E+01   -0.26354E+00   -0.65830E-02     2       Tsuji 73
FeH        -0.16223E+03    0.10347E+03   -0.19416E+01    0.28429E+00    0.00000E+00     2     Burrows 99
CrH        -0.27122E+03    0.68838E+02    0.82661E+01   -0.54831E+00    0.62030E-02     2       Tsuji 73
